Location Code,County,Area Name,Region,School Years,Number Overweight,Percent Overweight,Number Obese,Percent Obese,Number Overweight or Obese,Percent Overweight or Obese,Grade Level,Area Type,Street Address,City,State,Zip Code,Location 1
600000,N/A,NORTHEASTERN NEW YORK,NORTHEASTERN NEW YORK,2016-2018,10355,16.5,11052,17.6,21407,34.2,DISTRICT TOTAL,REGION,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2010-2012,78,16.3,89,18.6,167,34.9,MIDDLE/HIGH,COUNTY,,,,,
48,PUTNAM,PUTNAM,HUDSON VALLEY,2014-2016,697,16.3,646,15.1,1343,31.4,DISTRICT TOTAL,COUNTY,,,,,
120501,DELAWARE,DELAWARE ACADEMY CENTRAL SCHOOL DISTRICT AT DELHI,NORTHEASTERN NEW YORK,2012-2014,38,15.3,33,13.3,71,28.5,DISTRICT TOTAL,SCHOOL DISTRICT,2 SHELDON DR,DELHI,NY,13753,"(42.2737, -74.916)"
660805,WESTCHESTER,VALHALLA UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2016-2018,85,15.7,70,12.9,155,28.7,DISTRICT TOTAL,SCHOOL DISTRICT,316 COLUMBUS AVE,VALHALLA,NY,10595,"(41.0927, -73.778)"
64,WASHINGTON,WASHINGTON,NORTHEASTERN NEW YORK,2016-2018,518,18.8,579,21.0,1097,39.8,DISTRICT TOTAL,COUNTY,,,,,
600301,TIOGA,CANDOR CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,1 ACADEMY ST,CANDOR,NY,13743,"(42.2276, -76.3379)"
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2016-2018,583,16.5,745,21.1,1328,37.7,DISTRICT TOTAL,COUNTY,,,,,
440601,ORANGE,GOSHEN CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2016-2018,111,15.3,118,16.3,229,31.5,DISTRICT TOTAL,SCHOOL DISTRICT,227 MAIN ST,GOSHEN,NY,10924,"(41.4043, -74.3198)"
472202,OTSEGO,CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,24,22.6,17,16.0,41,38.7,ELEMENTARY,SCHOOL DISTRICT,597 COUNTY HWY 54,CHERRY VALLEY,NY,13320,"(42.8144, -74.7703)"
